DayOfWeek, HourOfDay, PeakProduction, PeakConsumptionAG, PeakConsumptionSO, PeakConsumptionSG, PeakConsumptionGE, PeakConsumptionZH, EndUserConsumption
2, 22, 14.613262421951717, 11.836427761517994, 11.03019386568082, 11.498993727425589, 12.201822692259038, 12.447142971711365, 14.232072931024371
2, 23, 14.425640745464502, 11.841555136053739, 11.063066051731429, 11.520715914463034, 12.225573796014237, 12.446375502268937, 14.168849799930033
3, 0, 14.310687570796848, 11.783476625164603, 10.972873567502283, 11.460627189969314, 12.420459302921977, 12.38715559389865, 14.092237946369028
3, 1, 14.22013509422422, 11.713276419320637, 10.950885526153877, 11.389401166510012, 12.361900121605657, 12.297444498477935, 14.061435641893857
3, 2, 14.181329706834855, 11.780714282219245, 11.009074296383222, 11.70315643638044, 12.264739304729382, 12.231621189267923, 14.036449055132532
3, 3, 14.159570166825567, 11.70015571273708, 10.92185062193087, 11.70170848812275, 12.212239431757276, 12.281643229688147, 14.006929278137145
3, 4, 14.14339525124402, 11.623758055480122, 10.874715270483362, 11.680210555257233, 12.191525248390843, 12.231880226556065, 13.956224487924988
3, 5, 14.160496934071901, 11.550673209221872, 10.858884106348437, 11.633226002834785, 12.200630332976457, 12.089464320880563, 14.004146166612529
3, 6, 14.232542746706805, 11.61325442957861, 10.877634012847665, 11.712960807183698, 12.255442417884801, 12.165894651930136, 14.167588872369922
3, 7, 14.455831202480077, 11.781272152850944, 10.95668943670727, 11.742542871589157, 12.254842219011428, 12.349043616071034, 14.297983801778612
3, 8, 14.773207808696931, 11.87656262136393, 11.061824151979934, 11.606780326312169, 12.229003541354794, 12.49364826606615, 14.35734042309302
3, 9, 14.780914223602055, 11.9149563361649, 11.09876104735527, 11.659965207619543, 12.317969757517753, 12.575133379410207, 14.367978747713652
3, 10, 14.762413312259316, 11.914738833586444, 10.961367443364525, 11.670744015072477, 12.348576204498531, 12.602783516879347, 14.393191609952034
3, 11, 14.741306357395617, 11.938674365641749, 11.130692068710065, 11.677332529518605, 12.371788118883629, 12.632344895848279, 14.430626831946102
3, 12, 14.714877222191674, 11.98220094793179, 11.07339633509228, 11.736168264159206, 12.399856306538549, 12.665509021884217, 14.432824630871886
3, 13, 14.70545437732819, 11.987662648251034, 11.13883653095436, 11.734186536731114, 12.408417899953703, 12.673154190894172, 14.378229863859021
3, 14, 14.672331861354174, 11.93255732903728, 11.085557020621101, 11.667359105331807, 12.356119890630216, 12.635378087695363, 14.375182905443033
3, 15, 14.657541303854268, 11.923513296165092, 11.119768144353174, 11.663665153403679, 12.354105342895862, 12.625178790203213, 14.358749459475506
3, 16, 14.649431068448434, 11.909329115127298, 11.126226093832045, 11.647509713147777, 12.343116933207414, 12.608040665948968, 14.350555301362487
3, 17, 14.684740070966528, 11.903078140552285, 11.097982130050244, 11.632896187671097, 12.342079956786957, 12.590271453695772, 14.32046285124298
3, 18, 14.776632596859763, 11.872989290158788, 11.091157469027243, 11.613149586109957, 12.309348320918051, 12.574451574345884, 14.313034209882272
3, 19, 14.788351113495136, 11.866582086352935, 11.062417984688437, 11.579137463812556, 12.328334852482216, 12.564250952352422, 14.306473859332367
3, 20, 14.79420862310018, 11.856493410258329, 11.047645334419096, 11.56696513870318, 12.338670802200456, 12.549632250176478, 14.261324607280617
3, 21, 14.778036119210112, 11.843112469408249, 10.956129652164773, 11.525163047375056, 12.295226093313813, 12.501909261631466, 14.231466525401224
3, 22, 14.750903063229956, 11.8396459286672, 11.085816836561643, 11.51973749432448, 12.227582065426821, 12.462823391334572, 14.23733257808339
3, 23, 14.659678578489633, 11.844176731730983, 11.035226317030666, 11.547729923502805, 12.210064806241933, 12.457410845750747, 14.178929837556101
4, 0, 14.370449791272938, 11.785725022647167, 11.060786916601073, 11.480681804440122, 12.148835187978118, 12.397562928298818, 14.101575951544723
4, 1, 14.275919874887222, 11.71323182134168, 11.035307721790193, 11.398238649822266, 12.00903724105021, 12.303195508703585, 14.056942436090404
4, 2, 14.229849942939595, 11.76833984251651, 10.969997669672672, 11.707828826195643, 12.057089933722184, 12.239708397550922, 14.037920202434726
4, 3, 14.202801803338813, 11.686375031792444, 10.96377093427355, 11.708699144872833, 12.344182341088304, 12.284444552038634, 14.01218494663716
4, 4, 14.15733498602157, 11.612843647965196, 10.851752594147692, 11.686855649137257, 12.334888418325855, 12.238373519805045, 13.951384227315685
4, 5, 14.161001792306887, 11.529319013445058, 10.784079373624424, 11.638336988251757, 12.343828625132717, 12.089720576802083, 14.006424111777385
4, 6, 14.194055326857365, 11.611773098781713, 10.906241334429486, 11.677856814840608, 12.324201181494452, 12.169188854845268, 14.168327412036259
4, 7, 14.345746220208833, 11.773765021507268, 10.95436394859519, 11.498881315966797, 12.06995868093563, 12.34624207009058, 14.30583241440485
4, 8, 14.713552140016922, 11.859747188980375, 11.061558842772794, 11.614750184461617, 12.25999443938429, 12.488108337133935, 14.37170002676653
4, 9, 14.761390542816734, 11.90620986184174, 11.155295822594793, 11.66603332525014, 12.346667423610075, 12.571285083133517, 14.38923596173976
4, 10, 14.763736659288732, 11.920029868698816, 11.14507958640168, 11.679851741927877, 12.386594028816978, 12.594935926112766, 14.425022412619132
4, 11, 14.75659404462572, 11.960377923507604, 11.16744879988909, 11.714577287515212, 12.418801245031611, 12.635086707622394, 14.468760943999424
4, 12, 14.64650969184232, 12.003249902184328, 11.234033499416912, 11.74995235045324, 12.45677406651605, 12.663703079029641, 14.462037947340484
4, 13, 14.624134413163782, 11.999096771362577, 11.164042583904944, 11.74901845560946, 12.465702278144162, 12.667278682951238, 14.39535833702844
4, 14, 14.607810359910602, 11.932569002417292, 11.146162738589434, 11.66702694473004, 12.39412932502322, 12.60655362682147, 14.38684923271114
4, 15, 14.584922965699063, 11.92662151243339, 11.135753353455188, 11.67650972150559, 12.373099139428103, 12.600005094096499, 14.363238014318526
4, 16, 14.495964784789406, 11.90699525233, 11.147356731128035, 11.664812112953332, 12.334815632014893, 12.5840870332966, 14.347182200386666
4, 17, 14.544312841185516, 11.86705127763281, 11.138853669534647, 11.665085831723534, 12.311240222076446, 12.560757148855641, 14.313260723896686
4, 18, 14.64191673768845, 11.847969918508392, 11.096830019506873, 11.620465244706196, 12.266592890134792, 12.538605615561725, 14.295822071707512
